title,url,certification,genres,rating,release_date,country_origin,production_company,budget,gross_us,opening_week_rev,opening_week_date,gross_world,runtime_minutes,color,soundmix,aspect_ratio
The Notebook,https://www.imdb.com/title/tt0332280/?ref_=watch_tpks_tt_i_1_pd_tp1_pbr_ic,PG-13,Drama,7.8,2004-06-25,United States,New Line Cinema,29000000,81417274,13464745,2004-06-27,118262229,123,Color,"DTS, Dolby Digital, SDDS",2.39 : 1
The Notebook,https://www.imdb.com/title/tt0332280/?ref_=watch_tpks_tt_i_1_pd_tp1_pbr_ic,PG-13,Romance,7.8,2004-06-25,United States,New Line Cinema,29000000,81417274,13464745,2004-06-27,118262229,123,Color,"DTS, Dolby Digital, SDDS",2.39 : 1
500 Days of Summer,https://www.imdb.com/title/tt1022603/?ref_=watch_tpks_tt_i_2_pd_tp1_pbr_ic,PG-13,Comedy,7.7,2009-08-07,United States,Searchlight Pictures,7500000,32391374,834501,2009-07-19,60801288,95,Color,"DTS, Dolby Digital, SDDS",2.35 : 1
500 Days of Summer,https://www.imdb.com/title/tt1022603/?ref_=watch_tpks_tt_i_2_pd_tp1_pbr_ic,PG-13,Drama,7.7,2009-08-07,United States,Searchlight Pictures,7500000,32391374,834501,2009-07-19,60801288,95,Color,"DTS, Dolby Digital, SDDS",2.35 : 1
500 Days of Summer,https://www.imdb.com/title/tt1022603/?ref_=watch_tpks_tt_i_2_pd_tp1_pbr_ic,PG-13,Romance,7.7,2009-08-07,United States,Searchlight Pictures,7500000,32391374,834501,2009-07-19,60801288,95,Color,"DTS, Dolby Digital, SDDS",2.35 : 1
Her,https://www.imdb.com/title/tt1798709/?ref_=watch_tpks_tt_i_3_pd_tp1_pbr_ic,R,Drama,8.0,2014-01-10,United States,Annapurna Pictures,23000000,25568251,260382,2013-12-22,48517427,126,Color,"SDDS, Datasat, Dolby Digital",1.85 : 1
Her,https://www.imdb.com/title/tt1798709/?ref_=watch_tpks_tt_i_3_pd_tp1_pbr_ic,R,Romance,8.0,2014-01-10,United States,Annapurna Pictures,23000000,25568251,260382,2013-12-22,48517427,126,Color,"SDDS, Datasat, Dolby Digital",1.85 : 1
Her,https://www.imdb.com/title/tt1798709/?ref_=watch_tpks_tt_i_3_pd_tp1_pbr_ic,R,Sci-Fi,8.0,2014-01-10,United States,Annapurna Pictures,23000000,25568251,260382,2013-12-22,48517427,126,Color,"SDDS, Datasat, Dolby Digital",1.85 : 1
Call Me by Your Name,https://www.imdb.com/title/tt5726616/?ref_=watch_tpks_tt_i_4_pd_tp1_pbr_ic,R,Drama,7.8,2018-01-19,Italy,Frenesy Film Company,4000000,18095701,412932,2017-11-26,43368603,132,Color,Dolby Digital,1.85 : 1
Call Me by Your Name,https://www.imdb.com/title/tt5726616/?ref_=watch_tpks_tt_i_4_pd_tp1_pbr_ic,R,Romance,7.8,2018-01-19,Italy,Frenesy Film Company,4000000,18095701,412932,2017-11-26,43368603,132,Color,Dolby Digital,1.85 : 1
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=watch_tpks_tt_i_5_pd_tp1_pbr_ic,R,Drama,8.5,2014-10-15,United States,Bold Films,3300000,13092000,135388,2014-10-12,49449489,106,Color,"Dolby Digital, SDDS, Datasat, Dolby Atmos",2.39 : 1
Whiplash,https://www.imdb.com/title/tt2582802/?ref_=watch_tpks_tt_i_5_pd_tp1_pbr_ic,R,Music,8.5,2014-10-15,United States,Bold Films,3300000,13092000,135388,2014-10-12,49449489,106,Color,"Dolby Digital, SDDS, Datasat, Dolby Atmos",2.39 : 1
